name,android,androidx,java,javax,kotlin,self
mobi.andromedia.games.lightsoff,326.0,0.0,722.0,0.0,0.0,509.0
mobile.expert.app,5821.0,3973.0,11329.0,42.0,105.0,13695.0
my.com.tshirtking,1685.0,0.0,735.0,0.0,0.0,23.0
net.minhawebradio.joelcecilio,2952.0,0.0,1047.0,0.0,0.0,30.0
net.newvibrations.baskavoda2017,173.0,0.0,693.0,5.0,0.0,400.0
net.updategames.granny,911.0,22.0,3312.0,20.0,0.0,3835.0
org.brilliant.android,4815.0,512.0,15190.0,72.0,53.0,28426.0
org.edx.mobile,5479.0,4206.0,11352.0,2.0,700.0,16840.0
org.videolan.vlc,5029.0,5304.0,16971.0,15.0,18903.0,3273.0
ovh.sauzanaprod.listecadeau,4969.0,0.0,6255.0,4.0,0.0,8138.0
phi.tv,5779.0,0.0,4820.0,5.0,0.0,4972.0
radio.ecuastereo,7684.0,25.0,15090.0,90.0,0.0,17306.0
ru.omdevelopment.ref.qurangerman.free,5764.0,25.0,10915.0,37.0,0.0,12774.0
ru.serjik.christmaslive,110.0,0.0,72.0,0.0,0.0,60.0
tasty.buzzfeed.japan.recipes.cooking,6306.0,0.0,8023.0,35.0,0.0,11001.0
titiknoltilesinc.ozunapiano,4651.0,1319.0,10893.0,70.0,0.0,13672.0
ua.com.citysites.belorechensk,4321.0,0.0,3405.0,0.0,0.0,4707.0
