close,date,minute
10419.2,2017-07-27,10:13:00
10418.8,2017-07-27,10:14:00
10308.6,2017-07-28,09:15:00
10318.6,2017-07-28,09:16:00
10318.05,2017-07-28,09:17:00
10309.75,2017-07-28,09:18:00
10304.0,2017-07-28,09:19:00
10305.2,2017-07-28,09:20:00
10315.25,2017-07-28,09:21:00
10317.05,2017-07-28,09:22:00
10314.25,2017-07-28,09:23:00
10307.7,2017-07-28,09:24:00
10304.75,2017-07-28,09:25:00
10302.45,2017-07-28,09:26:00
10303.95,2017-07-28,09:27:00
10307.05,2017-07-28,09:28:00
10308.2,2017-07-28,09:29:00
10306.05,2017-07-28,09:30:00
10309.95,2017-07-28,09:31:00
10311.65,2017-07-28,09:32:00
10310.35,2017-07-28,09:33:00
10312.4,2017-07-28,09:34:00
10318.25,2017-07-28,09:35:00
10318.65,2017-07-28,09:36:00
10314.85,2017-07-28,09:37:00
10312.95,2017-07-28,09:38:00
10314.65,2017-07-28,09:39:00
10312.15,2017-07-28,09:40:00
10312.0,2017-07-28,09:41:00
10311.25,2017-07-28,09:42:00
10312.45,2017-07-28,09:43:00
10314.1,2017-07-28,09:44:00
10310.25,2017-07-28,09:45:00
10309.65,2017-07-28,09:46:00
10302.75,2017-07-28,09:47:00
10301.95,2017-07-28,09:48:00
10300.35,2017-07-28,09:49:00
10299.15,2017-07-28,09:50:00
10299.0,2017-07-28,09:51:00
10303.55,2017-07-28,09:52:00
10306.0,2017-07-28,09:53:00
10310.0,2017-07-28,09:54:00
10310.55,2017-07-28,09:55:00
10309.85,2017-07-28,09:56:00
10310.2,2017-07-28,09:57:00
10309.8,2017-07-28,09:58:00
10313.7,2017-07-28,09:59:00
10316.95,2017-07-28,10:00:00
10317.25,2017-07-28,10:01:00
10320.1,2017-07-28,10:02:00
10318.5,2017-07-28,10:03:00
10322.2,2017-07-28,10:04:00
10323.15,2017-07-28,10:05:00
10317.9,2017-07-28,10:06:00
10318.35,2017-07-28,10:07:00
10318.5,2017-07-28,10:08:00
10319.65,2017-07-28,10:09:00
10319.75,2017-07-28,10:10:00
10322.25,2017-07-28,10:11:00
10325.65,2017-07-28,10:12:00
10325.6,2017-07-28,10:13:00
10323.5,2017-07-28,10:14:00
10366.6,2017-07-31,09:15:00
10363.45,2017-07-31,09:16:00
10365.6,2017-07-31,09:17:00
10380.35,2017-07-31,09:18:00
10378.4,2017-07-31,09:19:00
10379.05,2017-07-31,09:20:00
10380.15,2017-07-31,09:21:00
10380.0,2017-07-31,09:22:00
10384.25,2017-07-31,09:23:00
10385.15,2017-07-31,09:24:00
10383.15,2017-07-31,09:25:00
10383.75,2017-07-31,09:26:00
10376.9,2017-07-31,09:27:00
10372.6,2017-07-31,09:28:00
10370.6,2017-07-31,09:29:00
10374.85,2017-07-31,09:30:00
10370.6,2017-07-31,09:31:00
10370.85,2017-07-31,09:32:00
10367.95,2017-07-31,09:33:00
10368.8,2017-07-31,09:34:00
10368.8,2017-07-31,09:35:00
10374.65,2017-07-31,09:36:00
10369.35,2017-07-31,09:37:00
10363.45,2017-07-31,09:38:00
10363.65,2017-07-31,09:39:00
10371.9,2017-07-31,09:40:00
10371.3,2017-07-31,09:41:00
10373.3,2017-07-31,09:42:00
10375.35,2017-07-31,09:43:00
10374.25,2017-07-31,09:44:00
10371.7,2017-07-31,09:45:00
10372.15,2017-07-31,09:46:00
10371.6,2017-07-31,09:47:00
10370.95,2017-07-31,09:48:00
10372.35,2017-07-31,09:49:00
10373.1,2017-07-31,09:50:00
10372.45,2017-07-31,09:51:00
10375.25,2017-07-31,09:52:00
10374.6,2017-07-31,09:53:00
10375.3,2017-07-31,09:54:00
10374.3,2017-07-31,09:55:00
10375.1,2017-07-31,09:56:00
10374.75,2017-07-31,09:57:00
10375.95,2017-07-31,09:58:00
10378.85,2017-07-31,09:59:00
10377.4,2017-07-31,10:00:00
10371.3,2017-07-31,10:01:00
10371.3,2017-07-31,10:02:00
10371.3,2017-07-31,10:03:00
10371.95,2017-07-31,10:04:00
10372.4,2017-07-31,10:05:00
10372.65,2017-07-31,10:06:00
10371.05,2017-07-31,10:07:00
10367.4,2017-07-31,10:08:00
10365.95,2017-07-31,10:09:00
10365.45,2017-07-31,10:10:00
10364.95,2017-07-31,10:11:00
10368.05,2017-07-31,10:12:00
10368.6,2017-07-31,10:13:00
10368.75,2017-07-31,10:14:00
10431.95,2017-08-01,09:15:00
10428.65,2017-08-01,09:16:00
10432.0,2017-08-01,09:17:00
10435.6,2017-08-01,09:18:00
10431.7,2017-08-01,09:19:00
