,month,perc_dif,ticker
0,2020-08-26,4,CHTR
1,2020-09-25,3,CHTR
2,2020-10-26,2,CHTR
3,2020-11-25,4,CHTR
4,2020-12-28,3,CHTR
0,2020-08-26,3,CI
1,2020-09-25,2,CI
2,2020-10-26,4,CI
3,2020-11-25,4,CI
4,2020-12-28,3,CI
0,2020-08-26,2,CINF
1,2020-09-25,3,CINF
2,2020-10-26,2,CINF
3,2020-11-25,3,CINF
4,2020-12-28,4,CINF
0,2020-08-26,4,CL
1,2020-09-25,2,CL
2,2020-10-26,4,CL
3,2020-11-25,4,CL
4,2020-12-28,3,CL
0,2020-08-26,2,CLX
1,2020-09-25,2,CLX
2,2020-10-26,3,CLX
3,2020-11-25,2,CLX
4,2020-12-28,3,CLX
0,2020-08-26,4,CMA
1,2020-09-25,2,CMA
2,2020-10-26,4,CMA
3,2020-11-25,4,CMA
4,2020-12-28,4,CMA
0,2020-08-26,3,CMCSA
1,2020-09-25,4,CMCSA
2,2020-10-26,2,CMCSA
3,2020-11-25,4,CMCSA
4,2020-12-28,3,CMCSA
0,2020-08-26,4,CME
1,2020-09-25,2,CME
2,2020-10-26,2,CME
3,2020-11-25,4,CME
4,2020-12-28,4,CME
0,2020-08-26,4,CMG
1,2020-09-25,3,CMG
2,2020-10-26,4,CMG
3,2020-11-25,3,CMG
4,2020-12-28,4,CMG
0,2020-08-26,4,CMI
1,2020-09-25,3,CMI
2,2020-10-26,4,CMI
3,2020-11-25,4,CMI
4,2020-12-28,3,CMI
0,2020-08-26,2,CMS
1,2020-09-25,4,CMS
2,2020-10-26,4,CMS
3,2020-11-25,2,CMS
4,2020-12-28,3,CMS
0,2020-08-26,2,CNC
1,2020-09-25,2,CNC
2,2020-10-26,4,CNC
3,2020-11-25,2,CNC
4,2020-12-28,2,CNC
0,2020-08-26,4,CNP
1,2020-09-25,2,CNP
2,2020-10-26,4,CNP
3,2020-11-25,4,CNP
4,2020-12-28,2,CNP
0,2020-08-26,3,COF
1,2020-09-25,4,COF
2,2020-10-26,4,COF
3,2020-11-25,5,COF
4,2020-12-28,4,COF
0,2020-08-26,4,COG
1,2020-09-25,3,COG
2,2020-10-26,4,COG
3,2020-11-25,2,COG
4,2020-12-28,2,COG
0,2020-08-26,4,COO
1,2020-09-25,4,COO
2,2020-10-26,4,COO
3,2020-11-25,2,COO
4,2020-12-28,4,COO
0,2020-08-26,2,COP
1,2020-09-25,2,COP
2,2020-10-26,2,COP
3,2020-11-25,5,COP
4,2020-12-28,2,COP
0,2020-08-26,4,COST
1,2020-09-25,3,COST
2,2020-10-26,4,COST
3,2020-11-25,4,COST
4,2020-12-28,3,COST
0,2020-08-26,4,CPB
1,2020-09-25,2,CPB
2,2020-10-26,3,CPB
3,2020-11-25,3,CPB
4,2020-12-28,3,CPB
0,2020-08-26,4,CPRT
1,2020-09-25,3,CPRT
2,2020-10-26,4,CPRT
3,2020-11-25,3,CPRT
4,2020-12-28,4,CPRT
0,2020-08-26,5,CRM
1,2020-09-25,2,CRM
2,2020-10-26,4,CRM
3,2020-11-25,3,CRM
4,2020-12-28,2,CRM
0,2020-08-26,2,CSCO
1,2020-09-25,2,CSCO
2,2020-10-26,2,CSCO
3,2020-11-25,4,CSCO
4,2020-12-28,4,CSCO
0,2020-08-26,4,CSX
1,2020-09-25,4,CSX
2,2020-10-26,3,CSX
3,2020-11-25,4,CSX
4,2020-12-28,3,CSX
0,2020-08-26,4,CTAS
1,2020-09-25,3,CTAS
