followed,following
KS Jerry Moran,LA Bill Cassidy
KY Rand Paul,LA Bill Cassidy
AZ Kyrsten Sinema,LA Bill Cassidy
NV Catherine Cortez Masto,LA Bill Cassidy
IN Mike Braun,LA Bill Cassidy
NC Richard Burr,LA Bill Cassidy
ND Kevin Cramer,LA Bill Cassidy
NE Deb Fischer,LA Bill Cassidy
MO Josh Hawley,LA Bill Cassidy
ND John Hoeven,LA Bill Cassidy
OK James M. Inhofe,LA Bill Cassidy
WI Ron Johnson,LA Bill Cassidy
OK James Lankford,LA Bill Cassidy
KY Mitch McConnell,LA Bill Cassidy
WV Shelley Moore Capito,LA Bill Cassidy
ID Mike Crapo,LA Bill Cassidy
AR Tom Cotton,LA Bill Cassidy
MO Roy Blunt,LA Bill Cassidy
AR John Boozman,LA Bill Cassidy
TX John Cornyn,LA Bill Cassidy
CO Cory Gardner,LA Bill Cassidy
SC Lindsey Graham,LA Bill Cassidy
MT Steve Daines,LA Bill Cassidy
GA Johnny Isakson,LA Bill Cassidy
TN Marsha Blackburn,LA Bill Cassidy
TX Ted Cruz,LA Bill Cassidy
ME Susan M. Collins,LA Bill Cassidy
WY John Barrasso,LA Bill Cassidy
MS Cindy Hyde-Smith,LA Bill Cassidy
NC Thom Tillis,LA Bill Cassidy
UT Mike Lee,LA Bill Cassidy
IA Joni Ernst,LA Bill Cassidy
IA Chuck Grassley,LA Bill Cassidy
GA David Perdue,LA Bill Cassidy
SC Tim Scott,LA Bill Cassidy
TN Lamar Alexander,LA Bill Cassidy
IN Todd Young,LA Bill Cassidy
LA John Kennedy,LA Bill Cassidy
AZ Kyrsten Sinema,LA John Kennedy
IN Mike Braun,LA John Kennedy
ND Kevin Cramer,LA John Kennedy
MO Josh Hawley,LA John Kennedy
UT Mitt Romney,LA John Kennedy
FL Rick Scott,LA John Kennedy
NY Kirsten E. Gillibrand,LA John Kennedy
LA Bill Cassidy,LA John Kennedy
MN Amy Klobuchar,LA John Kennedy
MS Cindy Hyde-Smith,LA John Kennedy
CO Michael F. Bennet,LA John Kennedy
WI Tammy Baldwin,LA John Kennedy
AL Doug Jones,LA John Kennedy
NH Jeanne Shaheen,LA John Kennedy
IL Tammy Duckworth,LA John Kennedy
MA Edward J. Markey,LA John Kennedy
NJ Robert Menendez,LA John Kennedy
RI Jack Reed,LA John Kennedy
MI Debbie Stabenow,LA John Kennedy
MI Gary C. Peters,LA John Kennedy
MT Jon Tester,LA John Kennedy
OH Sherrod Brown,LA John Kennedy
VT Bernard Sanders,LA John Kennedy
VA Tim Kaine,LA John Kennedy
CA Kamala D. Harris,LA John Kennedy
VA Mark R. Warner,LA John Kennedy
OR Ron Wyden,LA John Kennedy
NM Martin Heinrich,LA John Kennedy
TN Marsha Blackburn,LA John Kennedy
SC Lindsey Graham,LA John Kennedy
NM Tom Udall,LA John Kennedy
HI Brian Schatz,LA John Kennedy
OR Jeff Merkley,LA John Kennedy
HI Mazie K. Hirono,LA John Kennedy
WA Maria Cantwell,LA John Kennedy
WA Patty Murray,LA John Kennedy
PA Robert P. Casey Jr.,LA John Kennedy
DE Thomas R. Carper,LA John Kennedy
MD Benjamin L. Cardin,LA John Kennedy
MD Chris Van Hollen,LA John Kennedy
NV Catherine Cortez Masto,LA John Kennedy
MA Elizabeth Warren,LA John Kennedy
NH Margaret Wood Hassan,LA John Kennedy
WV Joe Manchin III,LA John Kennedy
ME Angus S. King Jr.,LA John Kennedy
CA Dianne Feinstein,LA John Kennedy
IL Richard J. Durbin,LA John Kennedy
VT Patrick J. Leahy,LA John Kennedy
RI Sheldon Whitehouse,LA John Kennedy
DE Christopher A. Coons,LA John Kennedy
CT Richard Blumenthal,LA John Kennedy
AL Richard C. Shelby,LA John Kennedy
IN Todd Young,LA John Kennedy
AR John Boozman,LA John Kennedy
OK James M. Inhofe,LA John Kennedy
IA Chuck Grassley,LA John Kennedy
MT Steve Daines,LA John Kennedy
TX John Cornyn,LA John Kennedy
AK Lisa Murkowski,LA John Kennedy
KS Jerry Moran,LA John Kennedy
OH Rob Portman,LA John Kennedy
ME Susan M. Collins,LA John Kennedy
NC Richard Burr,LA John Kennedy
MO Roy Blunt,LA John Kennedy
KS Pat Roberts,LA John Kennedy
TN Lamar Alexander,LA John Kennedy
GA Johnny Isakson,LA John Kennedy
UT Mike Lee,LA John Kennedy
WV Shelley Moore Capito,LA John Kennedy
WY John Barrasso,LA John Kennedy
SC Tim Scott,LA John Kennedy
PA Patrick J. Toomey,LA John Kennedy
OK James Lankford,LA John Kennedy
FL Marco Rubio,LA John Kennedy
WI Ron Johnson,LA John Kennedy
CO Cory Gardner,LA John Kennedy
MS Roger F. Wicker,LA John Kennedy
SD John Thune,LA John Kennedy
ND John Hoeven,LA John Kennedy
ID Mike Crapo,LA John Kennedy
AR Tom Cotton,LA John Kennedy
NE Deb Fischer,LA John Kennedy
TX Ted Cruz,LA John Kennedy
ID James E. Risch,LA John Kennedy
KY Mitch McConnell,LA John Kennedy
IA Joni Ernst,LA John Kennedy
GA David Perdue,LA John Kennedy
SD Mike Rounds,LA John Kennedy
AK Dan Sullivan,LA John Kennedy
NE Ben Sasse,LA John Kennedy
NC Thom Tillis,LA John Kennedy
KY Rand Paul,LA John Kennedy
NY Kirsten E. Gillibrand,MA Edward J. Markey
UT Mitt Romney,MA Edward J. Markey
AZ Kyrsten Sinema,MA Edward J. Markey
NV Jacky Rosen,MA Edward J. Markey
MN Amy Klobuchar,MA Edward J. Markey
AL Doug Jones,MA Edward J. Markey
MN Tina Smith,MA Edward J. Markey
MT Steve Daines,MA Edward J. Markey
AL Richard C. Shelby,MA Edward J. Markey
NH Margaret Wood Hassan,MA Edward J. Markey
AK Dan Sullivan,MA Edward J. Markey
LA John Kennedy,MA Edward J. Markey
SC Lindsey Graham,MA Edward J. Markey
MD Chris Van Hollen,MA Edward J. Markey
FL Marco Rubio,MA Edward J. Markey
IN Todd Young,MA Edward J. Markey
CA Kamala D. Harris,MA Edward J. Markey
IL Tammy Duckworth,MA Edward J. Markey
NV Catherine Cortez Masto,MA Edward J. Markey
NJ Cory A. Booker,MA Edward J. Markey
DE Christopher A. Coons,MA Edward J. Markey
KY Mitch McConnell,MA Edward J. Markey
AR John Boozman,MA Edward J. Markey
VA Mark R. Warner,MA Edward J. Markey
TX John Cornyn,MA Edward J. Markey
AK Lisa Murkowski,MA Edward J. Markey
KS Jerry Moran,MA Edward J. Markey
NJ Robert Menendez,MA Edward J. Markey
OH Rob Portman,MA Edward J. Markey
ME Susan M. Collins,MA Edward J. Markey
NC Richard Burr,MA Edward J. Markey
MO Roy Blunt,MA Edward J. Markey
OH Sherrod Brown,MA Edward J. Markey
NM Tom Udall,MA Edward J. Markey
KS Pat Roberts,MA Edward J. Markey
MI Debbie Stabenow,MA Edward J. Markey
TN Lamar Alexander,MA Edward J. Markey
GA Johnny Isakson,MA Edward J. Markey
UT Mike Lee,MA Edward J. Markey
HI Mazie K. Hirono,MA Edward J. Markey
MD Benjamin L. Cardin,MA Edward J. Markey
VA Tim Kaine,MA Edward J. Markey
WV Shelley Moore Capito,MA Edward J. Markey
WY John Barrasso,MA Edward J. Markey
KY Rand Paul,MA Edward J. Markey
SC Tim Scott,MA Edward J. Markey
WI Ron Johnson,MA Edward J. Markey
OK James Lankford,MA Edward J. Markey
CO Michael F. Bennet,MA Edward J. Markey
PA Patrick J. Toomey,MA Edward J. Markey
WV Joe Manchin III,MA Edward J. Markey
CO Cory Gardner,MA Edward J. Markey
VT Patrick J. Leahy,MA Edward J. Markey
IL Richard J. Durbin,MA Edward J. Markey
DE Thomas R. Carper,MA Edward J. Markey
MS Roger F. Wicker,MA Edward J. Markey
ID Mike Crapo,MA Edward J. Markey
IA Joni Ernst,MA Edward J. Markey
GA David Perdue,MA Edward J. Markey
SD Mike Rounds,MA Edward J. Markey
NE Ben Sasse,MA Edward J. Markey
NC Thom Tillis,MA Edward J. Markey
ID James E. Risch,MA Edward J. Markey
NE Deb Fischer,MA Edward J. Markey
SD John Thune,MA Edward J. Markey
ND John Hoeven,MA Edward J. Markey
CA Dianne Feinstein,MA Edward J. Markey
AR Tom Cotton,MA Edward J. Markey
ME Angus S. King Jr.,MA Edward J. Markey
TX Ted Cruz,MA Edward J. Markey
HI Brian Schatz,MA Edward J. Markey
NM Martin Heinrich,MA Edward J. Markey
PA Robert P. Casey Jr.,MA Edward J. Markey
OR Jeff Merkley,MA Edward J. Markey
RI Jack Reed,MA Edward J. Markey
RI Sheldon Whitehouse,MA Edward J. Markey
MT Jon Tester,MA Edward J. Markey
WA Maria Cantwell,MA Edward J. Markey
WI Tammy Baldwin,MA Edward J. Markey
VT Bernard Sanders,MA Edward J. Markey
IA Chuck Grassley,MA Edward J. Markey
NH Jeanne Shaheen,MA Edward J. Markey
WA Patty Murray,MA Edward J. Markey
OR Ron Wyden,MA Edward J. Markey
MI Gary C. Peters,MA Edward J. Markey
CT Richard Blumenthal,MA Edward J. Markey
MA Elizabeth Warren,MA Edward J. Markey
CA Kamala D. Harris,MA Elizabeth Warren
MT Jon Tester,MA Elizabeth Warren
AZ Kyrsten Sinema,MA Elizabeth Warren
HI Brian Schatz,MA Elizabeth Warren
NV Jacky Rosen,MA Elizabeth Warren
MI Gary C. Peters,MA Elizabeth Warren
MN Amy Klobuchar,MA Elizabeth Warren
HI Mazie K. Hirono,MA Elizabeth Warren
NY Kirsten E. Gillibrand,MA Elizabeth Warren
DE Christopher A. Coons,MA Elizabeth Warren
NJ Cory A. Booker,MA Elizabeth Warren
WI Tammy Baldwin,MA Elizabeth Warren
AL Doug Jones,MA Elizabeth Warren
MN Tina Smith,MA Elizabeth Warren
MD Chris Van Hollen,MA Elizabeth Warren
NV Catherine Cortez Masto,MA Elizabeth Warren
IL Tammy Duckworth,MA Elizabeth Warren
NH Margaret Wood Hassan,MA Elizabeth Warren
TN Marsha Blackburn,ME Susan M. Collins
ND Kevin Cramer,ME Susan M. Collins
NV Jacky Rosen,ME Susan M. Collins
KY Mitch McConnell,ME Susan M. Collins
NJ Cory A. Booker,ME Susan M. Collins
TX Ted Cruz,ME Susan M. Collins
IN Todd Young,ME Susan M. Collins
MD Chris Van Hollen,ME Susan M. Collins
OK James Lankford,ME Susan M. Collins
LA John Kennedy,ME Susan M. Collins
NH Margaret Wood Hassan,ME Susan M. Collins
IL Tammy Duckworth,ME Susan M. Collins
NV Catherine Cortez Masto,ME Susan M. Collins
AK Dan Sullivan,ME Susan M. Collins
MN Tina Smith,ME Susan M. Collins
SD Mike Rounds,ME Susan M. Collins
GA David Perdue,ME Susan M. Collins
MS Cindy Hyde-Smith,ME Susan M. Collins
IA Joni Ernst,ME Susan M. Collins
MT Steve Daines,ME Susan M. Collins
LA Bill Cassidy,ME Susan M. Collins
MT Jon Tester,ME Susan M. Collins
MI Gary C. Peters,ME Susan M. Collins
CO Cory Gardner,ME Susan M. Collins
AR Tom Cotton,ME Susan M. Collins
NC Thom Tillis,ME Susan M. Collins
MA Elizabeth Warren,ME Susan M. Collins
HI Brian Schatz,ME Susan M. Collins
MA Edward J. Markey,ME Susan M. Collins
VA Tim Kaine,ME Susan M. Collins
NM Martin Heinrich,ME Susan M. Collins
ID James E. Risch,ME Susan M. Collins
ND John Hoeven,ME Susan M. Collins
NE Deb Fischer,ME Susan M. Collins
ID Mike Crapo,ME Susan M. Collins
WA Maria Cantwell,ME Susan M. Collins
WI Tammy Baldwin,ME Susan M. Collins
WV Shelley Moore Capito,ME Susan M. Collins
HI Mazie K. Hirono,ME Susan M. Collins
PA Patrick J. Toomey,ME Susan M. Collins
SC Tim Scott,ME Susan M. Collins
ME Angus S. King Jr.,ME Susan M. Collins
IL Richard J. Durbin,ME Susan M. Collins
AL Richard C. Shelby,ME Susan M. Collins
KS Pat Roberts,ME Susan M. Collins
OK James M. Inhofe,ME Susan M. Collins
OH Sherrod Brown,ME Susan M. Collins
VT Bernard Sanders,ME Susan M. Collins
CT Richard Blumenthal,ME Susan M. Collins
RI Sheldon Whitehouse,ME Susan M. Collins
CA Dianne Feinstein,ME Susan M. Collins
UT Mike Lee,ME Susan M. Collins
MI Debbie Stabenow,ME Susan M. Collins
CO Michael F. Bennet,ME Susan M. Collins
OH Rob Portman,ME Susan M. Collins
OR Ron Wyden,ME Susan M. Collins
GA Johnny Isakson,ME Susan M. Collins
PA Robert P. Casey Jr.,ME Susan M. Collins
MS Roger F. Wicker,ME Susan M. Collins
RI Jack Reed,ME Susan M. Collins
DE Christopher A. Coons,ME Susan M. Collins
VT Patrick J. Leahy,ME Susan M. Collins
DE Thomas R. Carper,ME Susan M. Collins
FL Marco Rubio,ME Susan M. Collins
WA Patty Murray,ME Susan M. Collins
NM Tom Udall,ME Susan M. Collins
NJ Robert Menendez,ME Susan M. Collins
OR Jeff Merkley,ME Susan M. Collins
MD Benjamin L. Cardin,ME Susan M. Collins
WV Joe Manchin III,ME Susan M. Collins
NH Jeanne Shaheen,ME Susan M. Collins
WI Ron Johnson,ME Susan M. Collins
KS Jerry Moran,ME Susan M. Collins
WY John Barrasso,ME Susan M. Collins
KY Rand Paul,ME Susan M. Collins
SD John Thune,ME Susan M. Collins
TN Lamar Alexander,ME Susan M. Collins
MO Roy Blunt,ME Susan M. Collins
VA Mark R. Warner,ME Susan M. Collins
AR John Boozman,ME Susan M. Collins
NC Richard Burr,ME Susan M. Collins
AK Lisa Murkowski,ME Susan M. Collins
IA Chuck Grassley,ME Susan M. Collins
TX John Cornyn,ME Susan M. Collins
MD Chris Van Hollen,ME Angus S. King Jr.
IL Tammy Duckworth,ME Angus S. King Jr.
LA John Kennedy,ME Angus S. King Jr.
OK James M. Inhofe,ME Angus S. King Jr.
WV Shelley Moore Capito,ME Angus S. King Jr.
SD Mike Rounds,ME Angus S. King Jr.
AK Dan Sullivan,ME Angus S. King Jr.
GA David Perdue,ME Angus S. King Jr.
NC Thom Tillis,ME Angus S. King Jr.
MT Steve Daines,ME Angus S. King Jr.
IA Joni Ernst,ME Angus S. King Jr.
AR Tom Cotton,ME Angus S. King Jr.
CO Cory Gardner,ME Angus S. King Jr.
MI Gary C. Peters,ME Angus S. King Jr.
OK James Lankford,ME Angus S. King Jr.
MA Edward J. Markey,ME Angus S. King Jr.
HI Brian Schatz,ME Angus S. King Jr.
ID James E. Risch,ME Angus S. King Jr.
NM Martin Heinrich,ME Angus S. King Jr.
MT Jon Tester,ME Angus S. King Jr.
AR John Boozman,ME Angus S. King Jr.
NH Jeanne Shaheen,ME Angus S. King Jr.
OR Jeff Merkley,ME Angus S. King Jr.
DE Christopher A. Coons,ME Angus S. King Jr.
WI Tammy Baldwin,ME Angus S. King Jr.
TX Ted Cruz,ME Angus S. King Jr.
VA Tim Kaine,ME Angus S. King Jr.
GA Johnny Isakson,ME Angus S. King Jr.
SC Tim Scott,ME Angus S. King Jr.
HI Mazie K. Hirono,ME Angus S. King Jr.
NE Deb Fischer,ME Angus S. King Jr.
VT Patrick J. Leahy,ME Angus S. King Jr.
MA Elizabeth Warren,ME Angus S. King Jr.
OR Ron Wyden,ME Angus S. King Jr.
MS Roger F. Wicker,ME Angus S. King Jr.
RI Sheldon Whitehouse,ME Angus S. King Jr.
VA Mark R. Warner,ME Angus S. King Jr.
NM Tom Udall,ME Angus S. King Jr.
PA Patrick J. Toomey,ME Angus S. King Jr.
SD John Thune,ME Angus S. King Jr.
MI Debbie Stabenow,ME Angus S. King Jr.
AL Richard C. Shelby,ME Angus S. King Jr.
VT Bernard Sanders,ME Angus S. King Jr.
FL Marco Rubio,ME Angus S. King Jr.
KS Pat Roberts,ME Angus S. King Jr.
RI Jack Reed,ME Angus S. King Jr.
OH Rob Portman,ME Angus S. King Jr.
KY Rand Paul,ME Angus S. King Jr.
WA Patty Murray,ME Angus S. King Jr.
KS Jerry Moran,ME Angus S. King Jr.
NJ Robert Menendez,ME Angus S. King Jr.
WV Joe Manchin III,ME Angus S. King Jr.
UT Mike Lee,ME Angus S. King Jr.
WI Ron Johnson,ME Angus S. King Jr.
ND John Hoeven,ME Angus S. King Jr.
IA Chuck Grassley,ME Angus S. King Jr.
CA Dianne Feinstein,ME Angus S. King Jr.
IL Richard J. Durbin,ME Angus S. King Jr.
ID Mike Crapo,ME Angus S. King Jr.
TX John Cornyn,ME Angus S. King Jr.
ME Susan M. Collins,ME Angus S. King Jr.
PA Robert P. Casey Jr.,ME Angus S. King Jr.
DE Thomas R. Carper,ME Angus S. King Jr.
MD Benjamin L. Cardin,ME Angus S. King Jr.
WA Maria Cantwell,ME Angus S. King Jr.
NC Richard Burr,ME Angus S. King Jr.
OH Sherrod Brown,ME Angus S. King Jr.
MO Roy Blunt,ME Angus S. King Jr.
CT Richard Blumenthal,ME Angus S. King Jr.
CO Michael F. Bennet,ME Angus S. King Jr.
WY John Barrasso,ME Angus S. King Jr.
TN Lamar Alexander,ME Angus S. King Jr.
KS Jerry Moran,MI Gary C. Peters
MN Amy Klobuchar,MI Gary C. Peters
CA Dianne Feinstein,MI Gary C. Peters
VT Patrick J. Leahy,MI Gary C. Peters
NV Jacky Rosen,MI Gary C. Peters
AZ Kyrsten Sinema,MI Gary C. Peters
NV Catherine Cortez Masto,MI Gary C. Peters
AL Doug Jones,MI Gary C. Peters
MN Tina Smith,MI Gary C. Peters
IL Tammy Duckworth,MI Gary C. Peters
NH Margaret Wood Hassan,MI Gary C. Peters
NJ Cory A. Booker,MI Gary C. Peters
OK James M. Inhofe,MI Gary C. Peters
KY Mitch McConnell,MI Gary C. Peters
GA Johnny Isakson,MI Gary C. Peters
WY John Barrasso,MI Gary C. Peters
ID Mike Crapo,MI Gary C. Peters
NC Richard Burr,MI Gary C. Peters
SD John Thune,MI Gary C. Peters
MO Roy Blunt,MI Gary C. Peters
ND John Hoeven,MI Gary C. Peters
TN Lamar Alexander,MI Gary C. Peters
KS Pat Roberts,MI Gary C. Peters
ID James E. Risch,MI Gary C. Peters
AK Dan Sullivan,MI Gary C. Peters
NC Thom Tillis,MI Gary C. Peters
SD Mike Rounds,MI Gary C. Peters
NE Ben Sasse,MI Gary C. Peters
MT Steve Daines,MI Gary C. Peters
MA Elizabeth Warren,MI Gary C. Peters
WI Ron Johnson,MI Gary C. Peters
OH Rob Portman,MI Gary C. Peters
PA Patrick J. Toomey,MI Gary C. Peters
IA Joni Ernst,MI Gary C. Peters
CO Michael F. Bennet,MI Gary C. Peters
WV Shelley Moore Capito,MI Gary C. Peters
OK James Lankford,MI Gary C. Peters
CT Richard Blumenthal,MI Gary C. Peters
OH Sherrod Brown,MI Gary C. Peters
DE Christopher A. Coons,MI Gary C. Peters
VA Mark R. Warner,MI Gary C. Peters
VA Tim Kaine,MI Gary C. Peters
IL Richard J. Durbin,MI Gary C. Peters
MT Jon Tester,MI Gary C. Peters
NH Jeanne Shaheen,MI Gary C. Peters
HI Mazie K. Hirono,MI Gary C. Peters
HI Brian Schatz,MI Gary C. Peters
VT Bernard Sanders,MI Gary C. Peters
WA Maria Cantwell,MI Gary C. Peters
WA Patty Murray,MI Gary C. Peters
RI Sheldon Whitehouse,MI Gary C. Peters
RI Jack Reed,MI Gary C. Peters
NM Martin Heinrich,MI Gary C. Peters
NM Tom Udall,MI Gary C. Peters
OR Jeff Merkley,MI Gary C. Peters
WI Tammy Baldwin,MI Gary C. Peters
OR Ron Wyden,MI Gary C. Peters
WV Joe Manchin III,MI Gary C. Peters
GA David Perdue,MI Gary C. Peters
NE Deb Fischer,MI Gary C. Peters
PA Robert P. Casey Jr.,MI Gary C. Peters
ME Susan M. Collins,MI Gary C. Peters
DE Thomas R. Carper,MI Gary C. Peters
NJ Robert Menendez,MI Gary C. Peters
MD Benjamin L. Cardin,MI Gary C. Peters
AK Lisa Murkowski,MI Gary C. Peters
CO Cory Gardner,MI Gary C. Peters
MA Edward J. Markey,MI Gary C. Peters
ME Angus S. King Jr.,MI Gary C. Peters
MD Chris Van Hollen,MI Gary C. Peters
MI Debbie Stabenow,MI Gary C. Peters
MN Amy Klobuchar,MI Debbie Stabenow
MA Elizabeth Warren,MI Debbie Stabenow
NJ Cory A. Booker,MI Debbie Stabenow
NV Catherine Cortez Masto,MI Debbie Stabenow
UT Mitt Romney,MI Debbie Stabenow
NV Jacky Rosen,MI Debbie Stabenow
AZ Kyrsten Sinema,MI Debbie Stabenow
MD Chris Van Hollen,MI Debbie Stabenow
NH Margaret Wood Hassan,MI Debbie Stabenow
NM Martin Heinrich,MI Debbie Stabenow
MA Edward J. Markey,MI Debbie Stabenow
AL Doug Jones,MI Debbie Stabenow
MN Tina Smith,MI Debbie Stabenow
MT Jon Tester,MI Debbie Stabenow
CA Kamala D. Harris,MI Debbie Stabenow
CA Dianne Feinstein,MI Debbie Stabenow
HI Brian Schatz,MI Debbie Stabenow
HI Mazie K. Hirono,MI Debbie Stabenow
RI Jack Reed,MI Debbie Stabenow
IL Tammy Duckworth,MI Debbie Stabenow
IL Richard J. Durbin,MI Debbie Stabenow
WI Tammy Baldwin,MI Debbie Stabenow
ME Angus S. King Jr.,MI Debbie Stabenow
PA Robert P. Casey Jr.,MI Debbie Stabenow
RI Sheldon Whitehouse,MI Debbie Stabenow
MO Roy Blunt,MI Debbie Stabenow
WA Maria Cantwell,MI Debbie Stabenow
OR Ron Wyden,MI Debbie Stabenow
WA Patty Murray,MI Debbie Stabenow
WV Joe Manchin III,MI Debbie Stabenow
DE Thomas R. Carper,MI Debbie Stabenow
WY John Barrasso,MI Debbie Stabenow
CO Michael F. Bennet,MI Debbie Stabenow
CT Richard Blumenthal,MI Debbie Stabenow
TN Lamar Alexander,MI Debbie Stabenow
VT Patrick J. Leahy,MI Debbie Stabenow
VA Tim Kaine,MI Debbie Stabenow
TX John Cornyn,MI Debbie Stabenow
OK James M. Inhofe,MI Debbie Stabenow
KS Pat Roberts,MI Debbie Stabenow
VT Bernard Sanders,MI Debbie Stabenow
MI Gary C. Peters,MI Debbie Stabenow
AK Lisa Murkowski,MI Debbie Stabenow
DE Christopher A. Coons,MI Debbie Stabenow
FL Marco Rubio,MI Debbie Stabenow
ME Susan M. Collins,MI Debbie Stabenow
VA Mark R. Warner,MI Debbie Stabenow
OR Jeff Merkley,MI Debbie Stabenow
NH Jeanne Shaheen,MI Debbie Stabenow
MD Benjamin L. Cardin,MI Debbie Stabenow
NM Tom Udall,MI Debbie Stabenow
NJ Robert Menendez,MI Debbie Stabenow
OH Sherrod Brown,MI Debbie Stabenow
IA Chuck Grassley,MI Debbie Stabenow
NY Kirsten E. Gillibrand,MN Amy Klobuchar
MO Roy Blunt,MN Amy Klobuchar
GA Johnny Isakson,MN Amy Klobuchar
CO Cory Gardner,MN Amy Klobuchar
PA Patrick J. Toomey,MN Amy Klobuchar
AK Dan Sullivan,MN Amy Klobuchar
AR Tom Cotton,MN Amy Klobuchar
WV Shelley Moore Capito,MN Amy Klobuchar
KS Jerry Moran,MN Amy Klobuchar
ID James E. Risch,MN Amy Klobuchar
KY Rand Paul,MN Amy Klobuchar
SC Tim Scott,MN Amy Klobuchar
WY John Barrasso,MN Amy Klobuchar
TN Lamar Alexander,MN Amy Klobuchar
MS Roger F. Wicker,MN Amy Klobuchar
AR John Boozman,MN Amy Klobuchar
AK Lisa Murkowski,MN Amy Klobuchar
OH Rob Portman,MN Amy Klobuchar
ND John Hoeven,MN Amy Klobuchar
FL Marco Rubio,MN Amy Klobuchar
IA Joni Ernst,MN Amy Klobuchar
IN Todd Young,MN Amy Klobuchar
SD Mike Rounds,MN Amy Klobuchar
KS Pat Roberts,MN Amy Klobuchar
WI Ron Johnson,MN Amy Klobuchar
GA David Perdue,MN Amy Klobuchar
NE Deb Fischer,MN Amy Klobuchar
SC Lindsey Graham,MN Amy Klobuchar
TX John Cornyn,MN Amy Klobuchar
UT Mike Lee,MN Amy Klobuchar
NE Ben Sasse,MN Amy Klobuchar
TX Ted Cruz,MN Amy Klobuchar
KY Mitch McConnell,MN Amy Klobuchar
SD John Thune,MN Amy Klobuchar
NC Thom Tillis,MN Amy Klobuchar
ID Mike Crapo,MN Amy Klobuchar
LA John Kennedy,MN Amy Klobuchar
NY Charles E. Schumer,MN Amy Klobuchar
CT Christopher Murphy,MN Amy Klobuchar
FL Rick Scott,MN Tina Smith
NY Charles E. Schumer,MN Tina Smith
FL Rick Scott,MO Roy Blunt
MO Josh Hawley,MO Roy Blunt
IN Mike Braun,MO Josh Hawley
IN Mike Braun,MS Cindy Hyde-Smith
IN Mike Braun,MS Roger F. Wicker
LA Bill Cassidy,MT Steve Daines
UT Mitt Romney,MT Steve Daines
IN Mike Braun,MT Steve Daines
FL Rick Scott,MT Steve Daines
AL Richard C. Shelby,MT Steve Daines
NC Thom Tillis,MT Steve Daines
CT Richard Blumenthal,MT Steve Daines
MT Jon Tester,MT Steve Daines
KY Mitch McConnell,MT Steve Daines
IA Joni Ernst,MT Steve Daines
GA David Perdue,MT Steve Daines
AK Dan Sullivan,MT Steve Daines
NE Ben Sasse,MT Steve Daines
SD Mike Rounds,MT Steve Daines
KS Jerry Moran,MT Steve Daines
KS Pat Roberts,MT Steve Daines
TN Lamar Alexander,MT Steve Daines
GA Johnny Isakson,MT Steve Daines
UT Mike Lee,MT Steve Daines
IA Chuck Grassley,MT Steve Daines
ID Mike Crapo,MT Steve Daines
NE Deb Fischer,MT Steve Daines
ID James E. Risch,MT Steve Daines
AR John Boozman,MT Steve Daines
PA Patrick J. Toomey,MT Steve Daines
MO Roy Blunt,MT Steve Daines
NC Richard Burr,MT Steve Daines
TX John Cornyn,MT Steve Daines
SD John Thune,MT Steve Daines
OH Rob Portman,MT Steve Daines
MS Roger F. Wicker,MT Steve Daines
WI Ron Johnson,MT Steve Daines
ND John Hoeven,MT Steve Daines
OK James M. Inhofe,MT Steve Daines
ME Susan M. Collins,MT Steve Daines
AR Tom Cotton,MT Steve Daines
FL Marco Rubio,MT Steve Daines
AK Lisa Murkowski,MT Steve Daines
WY John Barrasso,MT Steve Daines
KY Rand Paul,MT Steve Daines
TX Ted Cruz,MT Steve Daines
SC Tim Scott,MT Steve Daines
WV Shelley Moore Capito,MT Steve Daines
IN Todd Young,MT Steve Daines
OK James Lankford,MT Steve Daines
TN Marsha Blackburn,MT Steve Daines
CO Cory Gardner,MT Steve Daines
ND Kevin Cramer,MT Steve Daines
OK James M. Inhofe,MT Jon Tester
MD Chris Van Hollen,MT Jon Tester
TN Lamar Alexander,MT Jon Tester
WV Shelley Moore Capito,MT Jon Tester
IN Todd Young,MT Jon Tester
TN Marsha Blackburn,MT Jon Tester
NJ Cory A. Booker,MT Jon Tester
IA Joni Ernst,MT Jon Tester
AK Dan Sullivan,MT Jon Tester
SD Mike Rounds,MT Jon Tester
NE Ben Sasse,MT Jon Tester
KS Pat Roberts,MT Jon Tester
MA Edward J. Markey,MT Jon Tester
MN Amy Klobuchar,MT Jon Tester
SC Lindsey Graham,MT Jon Tester
AR Tom Cotton,MT Jon Tester
AZ Kyrsten Sinema,MT Jon Tester
IL Tammy Duckworth,MT Jon Tester
LA John Kennedy,MT Jon Tester
NV Jacky Rosen,MT Jon Tester
NY Kirsten E. Gillibrand,MT Jon Tester
IN Mike Braun,MT Jon Tester
LA Bill Cassidy,MT Jon Tester
MS Cindy Hyde-Smith,MT Jon Tester
FL Rick Scott,MT Jon Tester
UT Mitt Romney,MT Jon Tester
NV Catherine Cortez Masto,MT Jon Tester
NH Margaret Wood Hassan,MT Jon Tester
MI Gary C. Peters,MT Jon Tester
MN Tina Smith,MT Jon Tester
AL Doug Jones,MT Jon Tester
KY Mitch McConnell,MT Jon Tester
CO Cory Gardner,MT Jon Tester
AL Richard C. Shelby,MT Jon Tester
UT Mike Lee,MT Jon Tester
OH Sherrod Brown,MT Jon Tester
OH Rob Portman,MT Jon Tester
