followed,following
PA Robert P. Casey Jr.,CO Michael F. Bennet
WV Joe Manchin III,CO Michael F. Bennet
DE Thomas R. Carper,CO Michael F. Bennet
CT Richard Blumenthal,CO Michael F. Bennet
WA Patty Murray,CO Michael F. Bennet
RI Jack Reed,CO Michael F. Bennet
MT Jon Tester,CO Michael F. Bennet
IL Tammy Duckworth,CO Michael F. Bennet
NY Charles E. Schumer,CO Michael F. Bennet
NJ Cory A. Booker,CO Michael F. Bennet
KY Mitch McConnell,CO Michael F. Bennet
NH Margaret Wood Hassan,CO Michael F. Bennet
NE Ben Sasse,CO Michael F. Bennet
MI Gary C. Peters,CO Michael F. Bennet
VT Bernard Sanders,CO Michael F. Bennet
HI Brian Schatz,CO Michael F. Bennet
ME Angus S. King Jr.,CO Michael F. Bennet
HI Mazie K. Hirono,CO Michael F. Bennet
NM Martin Heinrich,CO Michael F. Bennet
ME Susan M. Collins,CO Michael F. Bennet
OH Rob Portman,CO Michael F. Bennet
AR John Boozman,CO Michael F. Bennet
MS Roger F. Wicker,CO Michael F. Bennet
AK Lisa Murkowski,CO Michael F. Bennet
GA Johnny Isakson,CO Michael F. Bennet
WI Ron Johnson,CO Michael F. Bennet
SD Mike Rounds,CO Michael F. Bennet
IA Joni Ernst,CO Michael F. Bennet
AK Dan Sullivan,CO Michael F. Bennet
IN Todd Young,CO Michael F. Bennet
VT Patrick J. Leahy,CO Michael F. Bennet
AR Tom Cotton,CO Michael F. Bennet
MT Steve Daines,CO Michael F. Bennet
GA David Perdue,CO Michael F. Bennet
WY John Barrasso,CO Michael F. Bennet
NE Deb Fischer,CO Michael F. Bennet
OK James Lankford,CO Michael F. Bennet
WV Shelley Moore Capito,CO Michael F. Bennet
OR Jeff Merkley,CO Michael F. Bennet
NV Catherine Cortez Masto,CO Michael F. Bennet
CA Dianne Feinstein,CO Michael F. Bennet
MI Debbie Stabenow,CO Michael F. Bennet
OH Sherrod Brown,CO Michael F. Bennet
WI Tammy Baldwin,CO Michael F. Bennet
RI Sheldon Whitehouse,CO Michael F. Bennet
OR Ron Wyden,CO Michael F. Bennet
ND John Hoeven,CO Michael F. Bennet
ID James E. Risch,CO Michael F. Bennet
TX Ted Cruz,CO Michael F. Bennet
ID Mike Crapo,CO Michael F. Bennet
KY Rand Paul,CO Michael F. Bennet
KS Jerry Moran,CO Michael F. Bennet
MO Roy Blunt,CO Michael F. Bennet
KS Pat Roberts,CO Michael F. Bennet
PA Patrick J. Toomey,CO Michael F. Bennet
SD John Thune,CO Michael F. Bennet
CO Cory Gardner,CO Michael F. Bennet
VA Mark R. Warner,CO Michael F. Bennet
VA Tim Kaine,CO Michael F. Bennet
IL Richard J. Durbin,CO Michael F. Bennet
MA Elizabeth Warren,CO Michael F. Bennet
NJ Robert Menendez,CO Michael F. Bennet
NC Richard Burr,CO Michael F. Bennet
AL Doug Jones,CO Cory Gardner
MA Edward J. Markey,CO Cory Gardner
MS Roger F. Wicker,CO Cory Gardner
SC Tim Scott,CO Cory Gardner
NE Deb Fischer,CO Cory Gardner
TX Ted Cruz,CO Cory Gardner
ID Mike Crapo,CO Cory Gardner
AR Tom Cotton,CO Cory Gardner
ND John Hoeven,CO Cory Gardner
SD John Thune,CO Cory Gardner
MI Gary C. Peters,CO Cory Gardner
FL Marco Rubio,CO Cory Gardner
WI Ron Johnson,CO Cory Gardner
OK James Lankford,CO Cory Gardner
AR John Boozman,CO Cory Gardner
PA Patrick J. Toomey,CO Cory Gardner
IA Chuck Grassley,CO Cory Gardner
TX John Cornyn,CO Cory Gardner
AK Lisa Murkowski,CO Cory Gardner
OH Rob Portman,CO Cory Gardner
KS Jerry Moran,CO Cory Gardner
AL Richard C. Shelby,CO Cory Gardner
ME Susan M. Collins,CO Cory Gardner
NC Richard Burr,CO Cory Gardner
MO Roy Blunt,CO Cory Gardner
KS Pat Roberts,CO Cory Gardner
GA Johnny Isakson,CO Cory Gardner
