Senator Name,Decision,Bill
CA Kamala D. Harris,Not Voting,3
NH Margaret Wood Hassan,Yea,3
MO Josh Hawley,Yea,3
NM Martin Heinrich,Yea,3
HI Mazie K. Hirono,Yea,3
ND John Hoeven,Yea,3
MS Cindy Hyde-Smith,Yea,3
OK James M. Inhofe,Yea,3
GA Johnny Isakson,Yea,3
WI Ron Johnson,Yea,3
AL Doug Jones,Yea,3
VA Tim Kaine,Yea,3
LA John Kennedy,Yea,3
ME Angus S. King Jr.,Yea,3
MN Amy Klobuchar,Not Voting,3
OK James Lankford,Yea,3
VT Patrick J. Leahy,Yea,3
UT Mike Lee,Yea,3
WV Joe Manchin III,Yea,3
MA Edward J. Markey,Yea,3
KY Mitch McConnell,Yea,3
AZ Martha McSally,Yea,3
NJ Robert Menendez,Yea,3
OR Jeff Merkley,Yea,3
KS Jerry Moran,Yea,3
AK Lisa Murkowski,Yea,3
CT Christopher Murphy,Yea,3
WA Patty Murray,Yea,3
KY Rand Paul,Yea,3
GA David Perdue,Yea,3
MI Gary C. Peters,Yea,3
OH Rob Portman,Yea,3
RI Jack Reed,Yea,3
ID James E. Risch,Yea,3
KS Pat Roberts,Yea,3
UT Mitt Romney,Yea,3
NV Jacky Rosen,Yea,3
SD Mike Rounds,Yea,3
FL Marco Rubio,Yea,3
VT Bernard Sanders,Not Voting,3
NE Ben Sasse,Yea,3
HI Brian Schatz,Yea,3
NY Charles E. Schumer,Yea,3
FL Rick Scott,Nay,3
SC Tim Scott,Yea,3
NH Jeanne Shaheen,Yea,3
AL Richard C. Shelby,Yea,3
AZ Kyrsten Sinema,Yea,3
MN Tina Smith,Yea,3
MI Debbie Stabenow,Yea,3
AK Dan Sullivan,Yea,3
MT Jon Tester,Yea,3
SD John Thune,Yea,3
NC Thom Tillis,Yea,3
PA Patrick J. Toomey,Yea,3
NM Tom Udall,Yea,3
MD Chris Van Hollen,Yea,3
VA Mark R. Warner,Not Voting,3
MA Elizabeth Warren,Not Voting,3
RI Sheldon Whitehouse,Yea,3
MS Roger F. Wicker,Yea,3
OR Ron Wyden,Yea,3
IN Todd Young,Yea,3
TN Lamar Alexander,Nay,4
WI Tammy Baldwin,Yea,4
WY John Barrasso,Nay,4
CO Michael F. Bennet,Not Voting,4
TN Marsha Blackburn,Nay,4
CT Richard Blumenthal,Yea,4
MO Roy Blunt,Nay,4
NJ Cory A. Booker,Not Voting,4
AR John Boozman,Nay,4
IN Mike Braun,Nay,4
OH Sherrod Brown,Yea,4
NC Richard Burr,Nay,4
WA Maria Cantwell,Yea,4
WV Shelley Moore Capito,Nay,4
MD Benjamin L. Cardin,Yea,4
DE Thomas R. Carper,Yea,4
PA Robert P. Casey Jr.,Yea,4
LA Bill Cassidy,Nay,4
ME Susan M. Collins,Yea,4
DE Christopher A. Coons,Yea,4
TX John Cornyn,Nay,4
NV Catherine Cortez Masto,Yea,4
AR Tom Cotton,Nay,4
ND Kevin Cramer,Nay,4
ID Mike Crapo,Nay,4
TX Ted Cruz,Nay,4
MT Steve Daines,Nay,4
IL Tammy Duckworth,Yea,4
IL Richard J. Durbin,Yea,4
WY Michael B. Enzi,Nay,4
IA Joni Ernst,Nay,4
CA Dianne Feinstein,Yea,4
NE Deb Fischer,Nay,4
CO Cory Gardner,Nay,4
NY Kirsten E. Gillibrand,Yea,4
SC Lindsey Graham,Nay,4
IA Chuck Grassley,Nay,4
CA Kamala D. Harris,Not Voting,4
NH Margaret Wood Hassan,Yea,4
MO Josh Hawley,Nay,4
NM Martin Heinrich,Yea,4
HI Mazie K. Hirono,Yea,4
ND John Hoeven,Nay,4
MS Cindy Hyde-Smith,Nay,4
OK James M. Inhofe,Nay,4
GA Johnny Isakson,Nay,4
WI Ron Johnson,Nay,4
AL Doug Jones,Yea,4
VA Tim Kaine,Yea,4
LA John Kennedy,Nay,4
ME Angus S. King Jr.,Yea,4
MN Amy Klobuchar,Yea,4
OK James Lankford,Nay,4
VT Patrick J. Leahy,Yea,4
UT Mike Lee,Nay,4
WV Joe Manchin III,Yea,4
MA Edward J. Markey,Yea,4
KY Mitch McConnell,Nay,4
AZ Martha McSally,Nay,4
NJ Robert Menendez,Yea,4
OR Jeff Merkley,Yea,4
KS Jerry Moran,Nay,4
AK Lisa Murkowski,Nay,4
CT Christopher Murphy,Yea,4
WA Patty Murray,Yea,4
KY Rand Paul,Nay,4
GA David Perdue,Nay,4
MI Gary C. Peters,Yea,4
OH Rob Portman,Nay,4
RI Jack Reed,Yea,4
ID James E. Risch,Nay,4
KS Pat Roberts,Nay,4
UT Mitt Romney,Nay,4
NV Jacky Rosen,Yea,4
SD Mike Rounds,Nay,4
FL Marco Rubio,Nay,4
VT Bernard Sanders,Not Voting,4
NE Ben Sasse,Nay,4
HI Brian Schatz,Yea,4
NY Charles E. Schumer,Yea,4
FL Rick Scott,Nay,4
SC Tim Scott,Nay,4
NH Jeanne Shaheen,Yea,4
AL Richard C. Shelby,Nay,4
AZ Kyrsten Sinema,Yea,4
MN Tina Smith,Yea,4
MI Debbie Stabenow,Yea,4
AK Dan Sullivan,Nay,4
MT Jon Tester,Yea,4
SD John Thune,Nay,4
NC Thom Tillis,Nay,4
PA Patrick J. Toomey,Nay,4
NM Tom Udall,Yea,4
MD Chris Van Hollen,Yea,4
VA Mark R. Warner,Yea,4
MA Elizabeth Warren,Not Voting,4
RI Sheldon Whitehouse,Yea,4
MS Roger F. Wicker,Nay,4
OR Ron Wyden,Yea,4
IN Todd Young,Nay,4
TN Lamar Alexander,Nay,5
WI Tammy Baldwin,Yea,5
WY John Barrasso,Nay,5
CO Michael F. Bennet,Nay,5
TN Marsha Blackburn,Nay,5
CT Richard Blumenthal,Yea,5
MO Roy Blunt,Nay,5
NJ Cory A. Booker,Yea,5
AR John Boozman,Nay,5
IN Mike Braun,Nay,5
OH Sherrod Brown,Yea,5
NC Richard Burr,Nay,5
WA Maria Cantwell,Yea,5
WV Shelley Moore Capito,Nay,5
MD Benjamin L. Cardin,Yea,5
DE Thomas R. Carper,Yea,5
PA Robert P. Casey Jr.,Yea,5
LA Bill Cassidy,Nay,5
ME Susan M. Collins,Nay,5
DE Christopher A. Coons,Yea,5
TX John Cornyn,Nay,5
NV Catherine Cortez Masto,Yea,5
AR Tom Cotton,Nay,5
ND Kevin Cramer,Nay,5
ID Mike Crapo,Nay,5
TX Ted Cruz,Nay,5
MT Steve Daines,Nay,5
IL Tammy Duckworth,Yea,5
IL Richard J. Durbin,Yea,5
WY Michael B. Enzi,Nay,5
IA Joni Ernst,Nay,5
CA Dianne Feinstein,Yea,5
NE Deb Fischer,Nay,5
CO Cory Gardner,Nay,5
NY Kirsten E. Gillibrand,Yea,5
SC Lindsey Graham,Nay,5
IA Chuck Grassley,Nay,5
CA Kamala D. Harris,Not Voting,5
NH Margaret Wood Hassan,Yea,5
MO Josh Hawley,Nay,5
NM Martin Heinrich,Yea,5
HI Mazie K. Hirono,Yea,5
ND John Hoeven,Nay,5
MS Cindy Hyde-Smith,Nay,5
OK James M. Inhofe,Nay,5
GA Johnny Isakson,Not Voting,5
WI Ron Johnson,Nay,5
AL Doug Jones,Yea,5
VA Tim Kaine,Yea,5
LA John Kennedy,Nay,5
ME Angus S. King Jr.,Yea,5
MN Amy Klobuchar,Yea,5
OK James Lankford,Nay,5
VT Patrick J. Leahy,Yea,5
UT Mike Lee,Nay,5
WV Joe Manchin III,Yea,5
MA Edward J. Markey,Yea,5
KY Mitch McConnell,Nay,5
AZ Martha McSally,Nay,5
NJ Robert Menendez,Yea,5
OR Jeff Merkley,Yea,5
KS Jerry Moran,Nay,5
AK Lisa Murkowski,Nay,5
CT Christopher Murphy,Yea,5
WA Patty Murray,Yea,5
KY Rand Paul,Yea,5
GA David Perdue,Nay,5
MI Gary C. Peters,Yea,5
OH Rob Portman,Nay,5
RI Jack Reed,Yea,5
ID James E. Risch,Nay,5
KS Pat Roberts,Nay,5
UT Mitt Romney,Nay,5
NV Jacky Rosen,Yea,5
SD Mike Rounds,Nay,5
FL Marco Rubio,Nay,5
VT Bernard Sanders,Not Voting,5
NE Ben Sasse,Nay,5
HI Brian Schatz,Yea,5
NY Charles E. Schumer,Yea,5
FL Rick Scott,Nay,5
SC Tim Scott,Nay,5
NH Jeanne Shaheen,Yea,5
AL Richard C. Shelby,Nay,5
AZ Kyrsten Sinema,Yea,5
MN Tina Smith,Yea,5
MI Debbie Stabenow,Yea,5
AK Dan Sullivan,Nay,5
MT Jon Tester,Yea,5
SD John Thune,Nay,5
NC Thom Tillis,Nay,5
PA Patrick J. Toomey,Nay,5
NM Tom Udall,Yea,5
MD Chris Van Hollen,Yea,5
VA Mark R. Warner,Yea,5
MA Elizabeth Warren,Not Voting,5
RI Sheldon Whitehouse,Not Voting,5
MS Roger F. Wicker,Nay,5
OR Ron Wyden,Yea,5
IN Todd Young,Nay,5
TN Lamar Alexander,Not Voting,6
WI Tammy Baldwin,Yea,6
WY John Barrasso,Nay,6
CO Michael F. Bennet,Yea,6
TN Marsha Blackburn,Nay,6
CT Richard Blumenthal,Yea,6
MO Roy Blunt,Yea,6
NJ Cory A. Booker,Not Voting,6
AR John Boozman,Nay,6
IN Mike Braun,Nay,6
OH Sherrod Brown,Yea,6
NC Richard Burr,Nay,6
WA Maria Cantwell,Yea,6
WV Shelley Moore Capito,Nay,6
MD Benjamin L. Cardin,Yea,6
DE Thomas R. Carper,Yea,6
PA Robert P. Casey Jr.,Yea,6
